"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338310752564414,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,0.00972223883598057,0.00372010137308699,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,2.72967510950085,NA,NA,NA,NA,NA,0.942174744023331,NA,NA,0.703374567205771,2.1176787646396
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis",1.20190462951296,NA,0.463893776353648,NA,NA,NA,NA,NA,NA,NA,0.48871527427407,0.469851701591827,NA,NA,0.254707348022649,NA,NA,0.187067158261523,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,1.46146511738102,NA,1.01590923960731,NA,NA,NA,0.514593509912568,NA,0.660034115174746,0.357096040080577,NA
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,0.548369774196516,NA,NA,NA,NA,0.635571656079614,NA,0.430500135235158,NA,NA,NA,0.22069387218532,NA,0.281385897791165,0.15735566454893,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,1.00350766976342,NA,NA,NA,NA,NA,NA,NA,0.446786821777891,0.250891821257519,NA
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207057774255553,NA,NA,NA,NA,NA,NA,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0553468825709408,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__",NA,NA,NA,NA,NA,NA,NA,0.00459999407353618,NA,NA,NA,NA,NA,NA,NA,NA,0.00197203139937686,NA,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065183205206205,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar",3.61220888701024,NA,NA,NA,NA,NA,NA,2.12110133411858,NA,NA,1.42601369922471,NA,1.79128648225595,NA,NA,NA,NA,NA,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",NA,NA,NA,0.455226425496409,NA,NA,NA,NA,0.52550208296125,NA,NA,NA,NA,NA,0.184179944430459,NA,NA,NA,NA
"81","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,6.93854995106005,4.58233726690368,NA,6.93854995106005,6.93854995106004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,0.231720039650154,NA,NA,NA,0.138381093548683,0.193430277113776,0.148970755342565,NA,NA,NA,NA,NA
"83","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,1.70600455207985,NA,NA,1.70600455207985,1.70600455207985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322628918669729,NA,NA,NA,NA,NA,NA,NA
"85","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0497224203540973,NA,0.0628740754492018,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,0.43253064244849,NA,NA,NA,NA,0.498043894663596,NA,0.331064033078206,0.327655329966751,NA,NA,NA,NA,NA,NA,NA
"87","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,3.2611984965115,NA,NA,NA,NA,NA,1.12323597314615,NA,NA,NA,NA
"88","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780940372937484,NA,NA,NA,NA,NA,NA,NA,NA
"89","Unassigned.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00897687039597401,NA,NA,NA,0.0178048060481116
