"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113188672580569,NA,NA,NA,NA,NA,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,0.675826232302186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.38690174957506,0.411101925960142,NA,NA,NA,NA,NA,0.385335902559644,NA,0.222757491368438,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.444476487422458,NA,NA,0.317774867923996,NA,NA,NA,0.440867909117679,NA,0.259393887927378,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280616398857617,NA,0.531135920515375,NA,NA,NA,NA,NA,NA,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__variabile",NA,NA,1.51819137682628,NA,NA,2.35512925396276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,0.432105787338405,NA,NA,0.111546383111315,NA,NA,NA,NA,NA,NA,NA,0.110277554670653,0.0862110543307413,NA,0.0442750449987437,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159836269098054,NA,NA,NA,NA,NA,NA,NA
"81","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",0.6751465141178,NA,NA,NA,0.936345627218249,0.603912552071752,0.39927328603086,NA,NA,NA,NA,NA,NA,NA,NA,0.300404156252005,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,NA,NA,NA,NA,NA,NA,NA,2.3530767155549,NA,NA,NA,NA,9.34287551372631,NA,NA,NA,NA,NA
"83","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.132942174799681,NA,NA,NA,0.0857322708002727,NA,NA,0.150415025079084,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,NA,0.418027740742754,NA,NA,0.639802461934302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,2.97814951276098,2.43231625561116,9.32904666738495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__",NA,NA,NA,NA,NA,0.0115975478154997,NA,NA,NA,NA,NA,NA,NA,NA,0.0317933946917196,NA,NA,NA,NA
"87","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.132897155878151,NA,NA,0.0964188363164578,0.0844387664358814,NA,NA,NA,NA,NA,NA
"88","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__",NA,0.507224185975396,0.27556115816179,1.5097481455073,NA,0.577394815569256,0.370718347028196,NA,NA,0.272845259190287,0.616765650593937,NA,NA,NA,NA,NA,NA,NA,NA
"89","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,NA,NA,NA,NA,0.824153513141372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,7.19892554467323,NA,3.32218966107028,NA,NA,NA,NA,NA,2.31676117238254,NA,2.62446870311579,NA,NA,NA,NA
"91","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Shigella.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472264226341477,NA,NA,NA,NA
"92","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39395307645945,NA,NA,NA,NA,NA,NA,NA
