"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129027779795159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4716652116888,NA,NA,NA,NA,NA,-2.46161804135725,NA,NA,-1.75390413535401,-5.32949008615094
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis",5.75885007593374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83645275035942,NA,NA,NA,-0.607744426707444,NA,NA,-0.419631948321369,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,-1.45027291627069,NA,NA,NA,2.71310969678367,NA,NA,NA,-1.58616738834352,NA,-1.04120896301656,-1.42188558227682,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,-0.735379671588928,NA,NA,NA,NA,NA,-0.392777189294099,NA,1.47592477968812,-0.992975787847376,NA,NA,-0.719079294853689,NA,-0.584349893316032,-0.620309249378526,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30151896672891,NA,NA,-0.756049915882841,NA,NA,-0.633009748723117,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__",NA,NA,NA,NA,0.0504399182758367,NA,-0.0381199915845851,NA,NA,NA,NA,NA,0.716547793026417,NA,NA,NA,NA,NA,NA,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.133292476223236,NA
"81","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__",NA,-5.36677359731847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012756470165715,NA
